 Full    lambda(A)   nu' nu"  Trans    
  629   8337.589   6   2  R2e(9.5) 
  630   8338.383   6   2  R1e(10.5)
  631   8338.688   6   2  R1f(10.5)
  632   8342.944   6   2  Q2f(0.5) 
  633   8343.122   6   2  Q2e(0.5) 
  634   8344.575   6   2  Q1f(1.5) 
  635   8344.630   6   2  Q1e(1.5) 
  636   8349.773   6   2  Q2f(1.5) 
  637   8349.923   6   2  Q2e(1.5) 
  638   8352.764   6   2  Q1f(2.5) 
  639   8352.967   6   2  Q1e(2.5) 
  640   8360.404   5   1  P2f(10.5)
  641   8361.206   5   1  P2e(10.5)
  642   8364.490   6   2  Q1f(3.5) 
  643   8364.952   6   2  Q1e(3.5) 
  644   8365.150   5   1  P1e(11.5)
  645   8366.437   5   1  P1f(11.5)
  646   8379.903   6   2  Q1f(4.5) 
  647   8380.737   6   2  Q1e(4.5) 
  648   8382.347   6   2  P2e(1.5) 
  649   8382.436   6   2  P2f(1.5) 
  650   8399.120   6   2  P1e(2.5) 
  651   8399.219   6   2  P1f(2.5) 
  652   8415.208   6   2  P2e(2.5) 
  653   8415.254   6   2  P2f(2.5) 
  654   8426.386   5   1  P2f(11.5)
  655   8427.338   5   1  P2e(11.5)
  656   8430.079   6   2  P1e(3.5) 
  657   8430.270   6   2  P1f(3.5) 
  658   8430.698   5   1  P1e(12.5)
  659   8432.171   5   1  P1f(12.5)
  660   8452.239   6   2  P2f(3.5) 
  661   8452.261   6   2  P2e(3.5) 
  662   8465.208   6   2  P1e(4.5) 
  663   8465.509   6   2  P1f(4.5) 
  664   8493.336   6   2  P2f(4.5) 
  665   8493.443   6   2  P2e(4.5) 
  666   8496.908   5   1  P2f(12.5)
  667   8498.020   5   1  P2e(12.5)
  668   8500.853   5   1  P1e(13.5)
  669   8502.523   5   1  P1f(13.5)
  670   8504.628   6   2  P1e(5.5) 
  671   8505.054   6   2  P1f(5.5) 
  672   8538.574   6   2  P2f(5.5) 
  673   8538.780   6   2  P2e(5.5) 
  674   8548.428   6   2  P1e(6.5) 
  675   8548.989   6   2  P1f(6.5) 
  676   8572.138   5   1  P2f(13.5)
  677   8573.491   5   1  P2e(13.5)
  678   8575.771   5   1  P1e(14.5)
  679   8577.647   5   1  P1f(14.5)
  680   8588.037   6   2  P2f(6.5) 
  681   8588.353   6   2  P2e(6.5) 
  682   8596.686   6   2  P1e(7.5) 
  683   8597.394   6   2  P1f(7.5) 
  684   8641.841   6   2  P2f(7.5) 
  685   8642.277   6   2  P2e(7.5) 
  686   8652.257   5   1  P2f(14.5)
  687   8653.716   5   1  P2e(14.5)
  688   8655.624   5   1  P1e(15.5)
  689   8657.714   5   1  P1f(15.5)
  690   8700.118   6   2  P2f(8.5) 
  691   8700.685   6   2  P2e(8.5) 
  692   8706.932   6   2  P1e(9.5) 
  693   8707.972   6   2  P1f(9.5) 
  694   8737.466   5   1  P2f(15.5)
  695   8739.107   5   1  P2e(15.5)
  696   8740.603   5   1  P1e(16.5)
  697   8742.913   5   1  P1f(16.5)
  698   8758.690   7   3  R1f(4.5) 
  699   8758.736   7   3  R1e(4.5) 
  700   8760.255   7   3  R1f(5.5) 
  701   8760.265   7   3  R1e(5.5) 
  702   8761.282   7   3  R1f(3.5) 
  703   8761.346   7   3  R1e(3.5) 
  704   8761.552   7   3  R2e(3.5) 
  705   8761.646   7   3  R2f(3.5) 
  706   8763.017   6   2  P2f(9.5) 
  707   8763.725   6   2  P2e(9.5) 
  708   8766.062   7   3  R1e(6.5) 
  709   8766.105   7   3  R1f(6.5) 
  710   8766.367   7   3  R2e(2.5) 
  711   8766.434   7   3  R2f(2.5) 
  712   8767.880   7   3  R1f(2.5) 
  713   8767.944   7   3  R1e(2.5) 
  714   8769.136   6   2  P1e(10.5)
  715   8770.362   6   2  P1f(10.5)
  716   8776.197   7   3  R2e(1.5) 
  717   8776.220   7   3  R2f(1.5) 
  718   8776.238   7   3  R1e(7.5) 
  719   8776.349   7   3  R1f(7.5) 
  720   8778.309   7   3  R1f(1.5) 
  721   8778.357   7   3  R1e(1.5) 
  722   8790.896   7   3  R1e(8.5) 
  723   8791.091   7   3  R1f(8.5) 
  724   8791.170   7   3  R2f(0.5) 
  725   8791.201   7   3  R2e(0.5) 
  726   8810.139   7   3  R1e(9.5) 
  727   8810.433   7   3  R1f(9.5) 
  728   8825.355   7   3  Q2f(0.5) 
  729   8825.540   7   3  Q2e(0.5) 
  730   8827.068   7   3  Q1f(1.5) 
  731   8827.124   7   3  Q1e(1.5) 
  732   8830.698   6   2  P2f(10.5)
  733   8830.922   5   1  P1e(17.5)
  734   8831.559   6   2  P2e(10.5)
  735   8832.836   7   3  Q2f(1.5) 
  736   8833.152   7   3  Q2e(1.5) 
  737   8833.454   5   1  P1f(17.5)
  738   8836.232   6   2  P1e(11.5)
  739   8836.334   7   3  Q1f(2.5) 
  740   8836.541   7   3  Q1e(2.5) 
  741   8837.659   6   2  P1f(11.5)
  742   8845.251   7   3  Q2f(2.5) 
  743   8845.603   7   3  Q2e(2.5) 
  744   8849.582   7   3  Q1f(3.5) 
  745   8850.055   7   3  Q1e(3.5) 
  746   8862.480   7   3  Q2f(3.5) 
  747   8862.754   7   3  Q2e(3.5) 
  748   8866.983   7   3  Q1f(4.5) 
  749   8867.533   7   3  P2e(1.5) 
  750   8867.633   7   3  P2f(1.5) 
  751   8867.841   7   3  Q1e(4.5) 
  752   8885.798   7   3  P1e(2.5) 
  753   8885.902   7   3  P1f(2.5) 
  754   8903.085   7   3  P2e(2.5) 
  755   8903.144   7   3  P2f(2.5) 
  756   8903.336   6   2  P2f(11.5)
  757   8904.363   6   2  P2e(11.5)
  758   8908.375   6   2  P1e(12.5)
  759   8910.018   6   2  P1f(12.5)
  760   8919.533   7   3  P1e(3.5) 
  761   8919.736   7   3  P1f(3.5) 
  762   8926.817   5   1  P1e(18.5)
  763   8929.566   5   1  P1f(18.5)
  764   8943.389   7   3  P2f(3.5) 
  765   8943.401   7   3  P2e(3.5) 
  766   8949.487   6   2  P1e(8.5) 
  767   8950.355   6   2  P1f(8.5) 
  768   8957.922   7   3  P1e(4.5) 
  769   8958.246   7   3  P1f(4.5) 
  770   8981.124   6   2  P2f(12.5)
  771   8982.327   6   2  P2e(12.5)
  772   8985.739   6   2  P1e(13.5)
  773   8987.611   6   2  P1f(13.5)
  774   8988.314   7   3  P2f(4.5) 
  775   8988.417   7   3  P2e(4.5) 
  776   9001.115   7   3  P1e(5.5) 
  777   9001.577   7   3  P1f(5.5) 
  778   9037.952   7   3  P2f(5.5) 
  779   9038.162   7   3  P2e(5.5) 
  780   9049.232   7   3  P1e(6.5) 
  781   9049.845   7   3  P1f(6.5) 
  782   9092.398   7   3  P2f(6.5) 
  783   9092.728   7   3  P2e(6.5) 
  784   9102.380   7   3  P1e(7.5) 
  785   9103.158   7   3  P1f(7.5) 
  786   9151.785   7   3  P2f(7.5) 
  787   9152.247   7   3  P2e(7.5) 
  788   9161.275   7   3  P1f(8.5) 
  789   9216.275   7   3  P1e(8.5) 
  790   9216.275   7   3  P2f(8.5) 
  791   9216.881   7   3  P2e(8.5) 
  792   9224.246   7   3  P1e(9.5) 
  793   9225.398   7   3  P1f(9.5) 
  794   9305.982   8   4  R1f(4.5) 
  795   9306.009   8   4  R1e(4.5) 
  796   9307.345   8   4  R1f(3.5) 
  797   9307.398   8   4  R1e(3.5) 
  798   9308.998   8   4  R2e(3.5) 
  799   9309.110   8   4  R2f(3.5) 

  800   9310.701   8   4  R2e(4.5) 
  801   9310.822   8   4  R2f(4.5) 
  802   9312.861   8   4  R2e(2.5) 
  803   9312.944   8   4  R2f(2.5) 
  804   9313.316   8   4  R1f(2.5) 
  805   9313.375   8   4  R1e(2.5) 
  806   9317.663   8   4  R1e(6.5) 
  807   9317.753   8   4  R1f(6.5) 
  808   9317.878   8   4  R2e(5.5) 
  809   9317.988   8   4  R2f(5.5) 
  810   9322.431   8   4  R2e(1.5) 
  811   9322.467   8   4  R2f(1.5) 
  812   9323.706   8   4  R1f(1.5) 
  813   9323.752   8   4  R1e(1.5) 
  814   9330.493   8   4  R2e(6.5) 
  815   9330.574   8   4  R2f(6.5) 
  816   9330.999   8   4  R1e(7.5) 
  817   9331.178   8   4  R1f(7.5) 
  818   9337.842   8   4  R2f(0.5) 
  819   9337.866   8   4  R2e(0.5) 
  820   9374.223   8   4  Q2f(0.5) 
  821   9374.414   8   4  Q2e(0.5) 
  822   9375.933   8   4  Q1f(1.5) 
  823   9375.989   8   4  Q1e(1.5) 
  824   9382.747   8   4  Q2f(1.5) 
  825   9383.075   8   4  Q2e(1.5) 
  826   9386.603   8   4  Q1f(2.5) 
  827   9386.813   8   4  Q1e(2.5) 
  828   9401.322   8   4  Q1e(3.5) 
  829   9401.841   8   4  Q1f(3.5) 
  830   9419.672   8   4  P2e(1.5) 
  831   9419.786   8   4  P2f(1.5) 
  832   9439.596   8   4  P1e(2.5) 
  833   9439.704   8   4  P1f(2.5) 
  834   9458.490   8   4  P2f(2.5) 
  835   9458.566   8   4  P2e(2.5) 
  836   9476.748   8   4  P1e(3.5) 
  837   9476.912   8   4  P1f(3.5) 
  838   9502.812   8   4  P2f(3.5) 
  839   9502.818   8   4  P2e(3.5) 
  840   9519.182   8   4  P1e(4.5) 
  841   9519.527   8   4  P1f(4.5) 
  842   9552.490   8   4  P2f(4.5) 
  843   9552.527   8   4  P2e(4.5) 
  844   9567.090   8   4  P1e(5.5) 
  845   9567.588   8   4  P1f(5.5) 
  846   9607.625   8   4  P2f(5.5) 
  847   9607.828   8   4  P2e(5.5) 
  848   9620.630   8   4  P1e(6.5) 
  849   9621.300   8   4  P1f(6.5) 
  850   9668.337   8   4  P2f(6.5) 
  851   9668.670   8   4  P2e(6.5) 
  852   9674.165   3   0  R2e(3.5) 
  853   9674.304   3   0  R2f(3.5) 
  854   9679.953   8   4  P1e(7.5) 
  855   9679.953   8   4  P1e(7.5) 
  856   9680.810   8   4  P1f(7.5) 
  857   9682.152   3   0  R1f(3.5) 
  858   9682.338   3   0  R1e(3.5) 
  859   9690.464   3   0  R2e(2.5) 
  860   9690.546   3   0  R2f(2.5) 
  861   9699.263   3   0  R1e(2.5) 
  862   9699.263   3   0  R1f(2.5) 
  863   9711.702   3   0  R2e(1.5) 
  864   9711.711   3   0  R2f(1.5) 
  865   9719.782   3   0  R1f(1.5) 
  866   9719.880   3   0  R1e(1.5) 
  867   9734.798   8   4  P2f(7.5) 
  868   9735.269   8   4  P2e(7.5) 
  869   9738.056   3   0  R2f(0.5) 
  870   9738.124   3   0  R2e(0.5) 
  871   9745.215   8   4  P1e(8.5) 
  872   9746.280   8   4  P1f(8.5) 
  873   9789.275   3   0  Q2f(0.5) 
  874   9789.557   3   0  Q2e(0.5) 
  875   9791.071   3   0  Q1f(1.5) 
  876   9791.166   3   0  Q1e(1.5) 
  877   9799.497   3   0  Q1f(2.5) 
  878   9799.843   3   0  Q1e(2.5) 
  879   9811.596   3   0  Q1f(3.5) 
  880   9812.373   3   0  Q1e(3.5) 
  881   9816.597   8   4  P1e(9.5) 
  882   9817.885   8   4  P1f(9.5) 
  883   9848.425   3   0  P2e(2.5) 
  884   9848.545   3   0  P2f(2.5) 
  885   9872.060   3   0  P1e(2.5) 
  886   9872.214   3   0  P1f(2.5) 
  887   9894.724   3   0  P2f(2.5) 
  888   9894.766   3   0  P2e(2.5) 
  889   9914.531   3   0  P1e(3.5) 
  890   9914.814   3   0  P1f(3.5) 
  891   9941.627   9   5  R1f(3.5) 
  892   9941.660   9   5  R1e(3.5) 
  893   9942.189   9   5  R1e(4.5) 
  894   9942.197   9   5  R1f(4.5) 
  895   9945.230   3   0  P2f(3.5) 
  896   9945.296   3   0  P2e(3.5) 
  897   9946.485   9   5  R1f(2.5) 
  898   9946.534   9   5  R1e(2.5) 
  899   9947.691   9   5  R2e(2.5) 
  900   9947.802   9   5  R2f(2.5) 
  901   9948.327   9   5  R1e(5.5) 
  902   9948.402   9   5  R1f(5.5) 
  903   9956.556   9   5  R1f(1.5) 
  904   9956.598   9   5  R1e(1.5) 
  905   9956.625   9   5  R2e(1.5) 
  906   9956.684   9   5  R2f(1.5) 
  907   9961.716   3   0  P1e(4.5) 
  908   9962.146   3   0  P1f(4.5) 
  909   9972.345   9   5  R2f(0.5) 
  910   9972.353   9   5  R2e(0.5) 
  911   9999.901   3   0  P2f(4.5) 
  912  10000.090   3   0  P2e(4.5) 
  913  10011.245   9   5  Q2f(0.5) 
  914  10011.439   9   5  Q2e(0.5) 
  915  10012.782   9   5  Q1f(1.5) 
  916  10012.838   9   5  Q1e(1.5) 
  917  10013.693   3   0  P1e(5.5) 
  918  10014.280   3   0  P1f(5.5) 
  919  10025.346   9   5  Q1f(2.5) 
  920  10025.557   9   5  Q1e(2.5) 
  921  10043.270   9   5  Q1f(3.5) 
  922  10043.756   9   5  Q1e(3.5) 
  923  10060.649   9   5  P2e(1.5) 
  924  10060.780   9   5  P2f(1.5) 
  925  10082.411   9   5  P1e(2.5) 
  926  10082.524   9   5  P1f(2.5) 
  927  10103.554   9   5  P2e(2.5) 
  928  10103.655   9   5  P2f(2.5) 
  929  10123.894   9   5  P1e(3.5) 
  930  10124.123   9   5  P1f(3.5) 
  931  10152.956   9   5  P2f(3.5) 
  932  10152.990   9   5  P2e(3.5) 
  933  10171.512   9   5  P1f(4.5) 
  934  10171.512   9   5  P1f(4.5) 
  935  10171.888   9   5  P1f(4.5) 
  936  10180.993   4   1  R2e(2.5) 
  937  10181.078   4   1  R2f(2.5) 
  938  10189.632   4   1  R1f(2.5) 
  939  10189.782   4   1  R1e(2.5) 
  940  10203.043   4   1  R2e(1.5) 
  941  10203.053   4   1  R2f(1.5) 
  942  10208.747   9   5  P2f(4.5) 
  943  10208.810   9   5  P2e(4.5) 
  944  10211.034   4   1  R1f(1.5) 
  945  10211.102   4   1  R1e(1.5) 
  946  10225.509   9   5  P1e(5.5) 
  947  10226.059   9   5  P1f(5.5) 
  948  10230.624   4   1  R2f(0.5) 
  949  10230.695   4   1  R2e(0.5) 
  950  10270.990   9   5  P2f(5.5) 
  951  10271.175   9   5  P2e(5.5) 
  952  10284.622   4   1  Q2f(0.5) 
  953  10284.917   4   1  Q2e(0.5) 
  954  10286.590   4   1  Q1f(1.5) 
  955  10286.686   4   1  Q1e(1.5) 
  956  10295.848   4   1  Q1f(2.5) 
  957  10296.200   4   1  Q1e(2.5) 
  958  10347.227   4   1  P2e(1.5) 
  959  10347.357   4   1  P2f(1.5) 
  960  10372.798   4   1  P1e(2.5) 
  961  10372.956   4   1  P1f(2.5) 
  962  10396.512   4   1  P2e(2.5) 
  963  10396.564   4   1  P2f(2.5) 
  964  10418.216   4   1  P1e(3.5) 
  965  10418.511   4   1  P1f(3.5) 
  966  10450.471   4   1  P2f(3.5) 
  967  10450.531   4   1  P2e(3.5) 
  968  10468.735   4   1  P1e(4.5) 
  969  10469.188   4   1  P1f(4.5) 
