 Full    lambda(A)   nu' nu"  Trans    
  144   6265.261   9   3  Q1e(2.5) 
  145   6268.270   5   0  P1e(5.5) 
  146   6268.540   5   0  P1f(5.5) 
  147   6272.217   9   3  Q2f(2.5) 
  148   6272.373   9   3  Q2e(2.5) 
  149   6275.485   9   3  Q1f(3.5) 
  150   6275.698   9   3  Q1e(3.5) 
  151   6278.060   9   3  P2e(1.5) 
  152   6278.121   9   3  P2f(1.5) 
  153   6287.407   9   3  P1e(2.5) 
  154   6287.462   9   3  P1f(2.5) 
  155   6297.879   9   3  P2e(2.5) 
  156   6297.927   9   3  P2f(2.5) 
  157   6306.869   9   3  P1e(3.5) 
  158   6306.981   9   3  P1f(3.5) 
  159   6321.390   9   3  P2e(3.5) 
  160   6321.406   9   3  P2f(3.5) 
  161   6329.747   9   3  P1e(4.5) 
  162   6329.933   9   3  P1f(4.5) 
  163   6348.516   9   3  P2f(4.5) 
  164   6348.547   9   3  P2e(4.5) 
  165   6356.167   9   3  P1e(5.5) 
  166   6356.441   9   3  P1f(5.5) 
  167   6379.268   9   3  P2f(5.5) 
  168   6379.361   9   3  P2e(5.5) 
  169   6386.236   9   3  P1e(6.5) 
  170   6386.611   9   3  P1f(6.5) 
  171   6413.720   9   3  P2f(6.5) 
  172   6413.885   9   3  P2e(6.5) 
  173   6420.056   9   3  P1e(7.5) 
  174   6420.544   9   3  P1f(7.5) 
  175   6451.960   9   3  P2f(7.5) 
  176   6452.209   9   3  P2e(7.5) 
  177   6457.734   9   3  P1e(8.5) 
  178   6458.344   9   3  P1f(8.5) 
  179   6463.505   6   1  R1f(3.5) 
  180   6463.538   6   1  R1e(3.5) 
  181   6463.793   6   1  R1f(4.5) 
  182   6463.810   6   1  R1e(4.5) 
  183   6464.870   6   1  R2e(3.5) 
  184   6464.922   6   1  R2f(3.5) 
  185   6465.828   6   1  R2e(2.5) 
  186   6465.867   6   1  R2f(2.5) 
  187   6465.936   6   1  R1f(2.5) 
  188   6465.971   6   1  R1e(2.5) 
  189   6470.138   6   1  R2e(1.5) 
  190   6470.152   6   1  R2f(1.5) 
  191   6470.960   6   1  R1f(1.5) 
  192   6470.988   6   1  R1e(1.5) 
